#class tools::wcsv::ntuple
#title APXS Detector Hits
#separator 44
#vector_separator 59
#column int EventID
#column int TrackID
#column string Particle
#column double InitialEnergy
#column double DepositedEnergy
#column double XPosition
#column double YPosition
#column double ZPosition
#column double LocalTime
#column string Volume
9970,3,alpha,3.73314e+06,5762.76,237.391,239.296,-52.5993,8.71523,worldPhysical
9990,2708,e-,511.883,0.884176,165.305,296.966,-106.428,7.89854,worldPhysical
11003,416,e-,511.344,0.345478,126.156,328.285,-100.372,14.2975,worldPhysical
11042,18,e-,511.339,0.339922,312.951,161.987,-44.7115,48.3767,worldPhysical
11042,16,e-,511.106,0.106827,283.525,202.39,-80.4342,48.3767,worldPhysical
11056,3,alpha,3.73318e+06,5804.88,321.046,172.373,36.0515,0.724104,worldPhysical
11069,137,e-,511.519,0.52009,274.976,209.229,55.715,3056.9,worldPhysical
11126,5,e-,511.781,0.782183,180.661,284.68,-73.4179,24.9767,worldPhysical
11148,5,e-,511.479,0.479764,95.0752,353.149,-14.1566,11.0805,worldPhysical
11152,403,e-,511.556,0.556594,180.455,284.845,-88.551,20.8338,worldPhysical
11159,14,e-,531.557,20.558,93.2558,354.605,-8.51809,37.0642,worldPhysical
11159,11,e-,512.466,1.46692,218.257,254.604,71.23,37.0642,worldPhysical
11159,9,e-,511.221,0.222251,197.915,266.619,149.518,37.0642,worldPhysical
11161,3,alpha,3.73318e+06,5804.88,261.335,220.141,-15.345,15.5522,worldPhysical
11170,360,e-,511.106,0.106822,188.156,278.684,91.6251,48.7097,worldPhysical
11224,11,e-,528.78,17.781,176.951,287.649,132.61,20.0459,worldPhysical
11226,13,e-,513.118,2.11884,309.008,147.221,-14.2043,1.02375,worldPhysical
11259,3,alpha,3.73318e+06,5804.88,177.168,287.475,126.8,8.21545,worldPhysical
11268,3,alpha,3.73318e+06,5804.88,181.741,283.816,-100.765,2.69034,worldPhysical
11281,3,alpha,3.73318e+06,5804.88,182.936,282.86,69.644,20.1126,worldPhysical
11283,426,e-,511.122,0.122823,315.266,153.978,1.55176,14.9793,worldPhysical
11302,2655,e-,512.698,1.69874,211.358,260.123,106.098,124.488,worldPhysical
11311,332,e-,513.91,2.91073,116.566,335.956,-22.4367,17.8042,worldPhysical
11317,2640,e-,511.63,0.631203,169.904,293.286,-46.4614,80.4017,worldPhysical
11322,2869,e-,515.179,4.18048,135.757,320.604,20.4556,8.47661,worldPhysical
11339,2691,e-,511.099,0.100324,98.1244,350.71,30.9794,6.98854,worldPhysical
11345,3,alpha,3.73318e+06,5804.88,99.7164,349.436,-2.46806,18.7939,worldPhysical
11372,3,alpha,3.73318e+06,5804.88,173.888,290.099,-69.0206,29.7262,worldPhysical
11374,320,e-,511.289,0.289956,190.989,276.418,-105.777,14.3638,worldPhysical
11377,337,e-,511.099,0.10032,236.194,240.254,-96.8743,5.9351,worldPhysical
11380,3,alpha,3.73318e+06,5804.88,140.565,316.757,1.13887,77.0648,worldPhysical
11387,13,e-,512.033,1.03458,93.6198,354.313,-15.8884,33.686,worldPhysical
11389,3,alpha,3.73318e+06,5804.88,286.448,164.804,89.0235,1.88019,worldPhysical
11395,2603,e-,511.117,0.118353,144.23,313.826,-66.222,26.2598,worldPhysical
11396,517,e-,511.857,0.858037,261.391,220.096,-127.542,10381.7,worldPhysical
11407,315,e-,511.602,0.603544,137.684,319.062,19.2396,15.7946,worldPhysical
11440,414,e-,511.306,0.307332,149.53,309.585,-64.4648,19.029,worldPhysical
11461,414,e-,511.114,0.115146,184.251,281.809,60.1914,26.0805,worldPhysical
11472,3,alpha,3.73314e+06,5762.76,289.364,177.787,96.4348,16.2466,worldPhysical
11501,15,e-,549.266,38.2669,278.741,206.216,-42.8572,11.9924,worldPhysical
11507,3,alpha,3.73318e+06,5804.88,153.742,306.216,-120.787,50.7301,worldPhysical
11515,3,alpha,3.73318e+06,5804.88,160.764,300.598,57.6148,31.0018,worldPhysical
11528,7,e-,511.216,0.216728,164.368,297.715,60.0069,5.20122,worldPhysical
11544,375,alpha,3.73255e+06,5168.07,182.131,283.505,77.8543,7294,worldPhysical
11549,3,alpha,3.73318e+06,5804.88,310.097,154.405,-35.7032,0.115668,worldPhysical
11553,12,e-,511.455,0.456501,230.309,244.962,66.7621,11.2256,worldPhysical
11565,2651,e-,511.464,0.464871,181.684,283.862,118.893,41.3546,worldPhysical
11585,8,e-,511.282,0.283107,104.847,345.332,-18.5325,10.8568,worldPhysical
11604,2651,e-,521.315,10.3163,288.263,198.599,-18.935,14.4718,worldPhysical
11654,333,e-,513.5,2.50123,106.273,344.191,22.2301,37.0002,worldPhysical
11663,11,e-,511.317,0.317851,111.723,339.831,79.3937,0.340641,worldPhysical
11675,103,e-,511.839,0.840129,180.323,284.951,-15.6427,18.7019,worldPhysical
